ID,Title,ReleaseDate
1,Movie Title 1,10/19/1996
2,Movie Title 2,12/12/1997
3,Movie Title 3,12/16/1990
4,Movie Title 4,04/04/2018
5,Movie Title 5,08/08/2019
6,Movie Title 6,03/28/2009
7,Movie Title 7,07/10/2005
8,Movie Title 8,09/26/1992
9,Movie Title 9,04/25/2011
10,Movie Title 10,11/22/2017
11,Movie Title 11,08/26/1985
12,Movie Title 12,01/04/1989
13,Movie Title 13,10/12/2000
14,Movie Title 14,11/03/1997
15,Movie Title 15,05/11/2003
16,Movie Title 16,04/29/2004
17,Movie Title 17,08/03/2000
18,Movie Title 18,12/13/2018
19,Movie Title 19,10/04/1982
20,Movie Title 20,09/29/2020
21,Movie Title 21,03/20/2005
22,Movie Title 22,07/13/2002
23,Movie Title 23,06/02/2006
24,Movie Title 24,06/14/2024
25,Movie Title 25,11/11/1992
26,Movie Title 26,07/09/1996
27,Movie Title 27,09/23/2008
28,Movie Title 28,08/25/2008
29,Movie Title 29,10/22/1987
30,Movie Title 30,02/06/1991
31,Movie Title 31,09/13/1999
32,Movie Title 32,04/03/2022
33,Movie Title 33,11/01/2004
34,Movie Title 34,01/12/1986
35,Movie Title 35,12/14/1985
36,Movie Title 36,06/16/1990
37,Movie Title 37,11/28/2023
38,Movie Title 38,01/09/2014
39,Movie Title 39,04/18/1988
40,Movie Title 40,03/07/1981
41,Movie Title 41,02/01/1983
42,Movie Title 42,05/07/1994
43,Movie Title 43,07/18/2021
44,Movie Title 44,03/15/2002
45,Movie Title 45,03/24/1983
46,Movie Title 46,12/12/2009
47,Movie Title 47,09/11/2017
48,Movie Title 48,07/04/1987
49,Movie Title 49,08/14/1983
50,Movie Title 50,10/06/2011
